date,time,country,event,reference,actual,previous,consensus,forecast,importance,url
Monday March 10 2025,06:40 AM,ES,3-Month Letras Auction,,,2.431%,,N/A,0,/spain/3-month-bill-yield
Monday March 10 2025,06:40 AM,ES,N/A,,,2.248%,N/A,N/A,0,N/A
Monday March 10 2025,07:00 AM,US,NFIB Business Optimism Index,FEB,,102.8,101,102,0,/united-states/nfib-business-optimism-index
Monday March 10 2025,07:30 AM,DE,2-Year Schatz Auction,,,2.14%,,N/A,0,/germany/2-year-note-yield
Monday March 10 2025,09:00 AM,BR,Industrial Production MoM,JAN,,-0.3%,,0.6%,0,/brazil/industrial-production-mom
Monday March 10 2025,09:00 AM,BR,Industrial Production YoY,JAN,,1.6%,,0.9%,0,/brazil/industrial-production
Monday March 10 2025,10:55 AM,US,Redbook YoY,MAR/08,,6.6%,,N/A,0,/united-states/redbook-index
Monday March 10 2025,11:00 AM,US,JOLTs Job Openings,JAN,,7.6M,7.71M,7.5M,0,/united-states/job-offers
Monday March 10 2025,11:00 AM,US,JOLTs Job Quits,JAN,,3.197M,,3.21M,0,/united-states/job-quits
Monday March 10 2025,11:15 AM,DE,Bundesbank Köhler-Geib Speech,,,,N/A,N/A,0,/germany/interest-rate
Monday March 10 2025,12:30 PM,US,N/A,,,4.240%,N/A,N/A,0,N/A
Monday March 10 2025,01:00 PM,US,N/A,,,,N/A,N/A,0,N/A
Monday March 10 2025,02:00 PM,US,3-Year Note Auction,,,4.300%,,N/A,0,/united-states/3-year-note-yield
Monday March 10 2025,05:30 PM,US,API Crude Oil Stock Change,MAR/07,,-1.455M,,N/A,0,/united-states/api-crude-oil-stock-change
Monday March 10 2025,08:50 PM,JP,BSI Large Manufacturing QoQ,Q1,,6.3%,6.5%,8.0%,0,/japan/business-survey-index-large-manufacturing-firms
Monday March 10 2025,08:50 PM,JP,PPI MoM,FEB,,0.3%,-0.1%,0%,0,/japan/producer-price-inflation-mom
Monday March 10 2025,08:50 PM,JP,PPI YoY,FEB,,4.2%,4%,4.1%,0,/japan/producer-prices-change
Monday March 10 2025,,CN,N/A,,,,N/A,N/A,0,N/A
Monday March 10 2025,,ID,Car Sales YoY,FEB,,-11.3%,,-7%,0,/indonesia/car-registrations
Monday March 10 2025,,TR,Auto Production YoY,FEB,,-2.8%,N/A,N/A,0,/turkey/car-production
Monday March 10 2025,,TR,Auto Sales YoY,FEB,,-13.9%,,-14.0%,0,/turkey/total-vehicle-sales
Monday March 10 2025,12:15 AM,ID,Retail Sales YoY,JAN,,1.8%,,0.4%,0,/indonesia/retail-sales-annual
Monday March 10 2025,12:35 AM,JP,20-Year JGB Auction,,,2.028%,,N/A,0,/japan/20-year-bond-yield
Monday March 10 2025,04:00 AM,TR,Current Account,JAN,,$-4.65B,,$-5.0B,0,/turkey/current-account
Monday March 10 2025,05:00 AM,ES,Retail Sales MoM,JAN,,1.5%,,-0.3%,0,/spain/retail-sales
Monday March 10 2025,05:00 AM,ES,Retail Sales YoY,JAN,,4%,,3.2%,0,/spain/retail-sales-annual
Monday March 10 2025,05:45 AM,EA,ECB President Lagarde Speech,,,,N/A,N/A,0,/euro-area/interest-rate
Monday March 10 2025,07:00 AM,GB,10-Year Treasury Gilt Auction,,,4.808%,,N/A,0,/united-kingdom/government-bond-yield
Monday March 10 2025,07:10 AM,IT,12-Month BOT Auction,,,2.323%,,N/A,0,/italy/52-week-bill-yield
Monday March 10 2025,07:30 AM,DE,10-Year Bund Auction,,,2.52%,,N/A,0,/germany/government-bond-yield
Monday March 10 2025,07:30 AM,IN,Industrial Production YoY,JAN,,3.2%,3.5%,3.4%,0,/india/industrial-production
Monday March 10 2025,07:30 AM,IN,Inflation Rate YoY,FEB,,4.31%,4%,4.2%,0,/india/inflation-cpi
Monday March 10 2025,07:30 AM,IN,Manufacturing Production YoY,JAN,,3%,,3.1%,0,/india/manufacturing-production
Monday March 10 2025,07:30 AM,IN,Inflation Rate MoM,FEB,,-0.97%,,0.5%,0,/india/inflation-rate-mom
Monday March 10 2025,08:00 AM,US,MBA 30-Year Mortgage Rate,MAR/07,,6.73%,,N/A,0,/united-states/mortgage-rate
Monday March 10 2025,08:00 AM,US,MBA Mortgage Applications,MAR/07,,20.4%,,N/A,0,/united-states/mortgage-applications
Monday March 10 2025,08:00 AM,US,MBA Mortgage Market Index,MAR/07,,242.2,,N/A,0,/united-states/mba-mortgage-market-index
Monday March 10 2025,08:00 AM,US,MBA Mortgage Refinance Index,MAR/07,,784.2,,N/A,0,/united-states/mba-mortgage-refinance-index
Monday March 10 2025,08:00 AM,US,MBA Purchase Index,MAR/07,,144.5,,N/A,0,/united-states/mba-purchase-index
Monday March 10 2025,08:30 AM,BR,Gross Debt to GDP,JAN,,76.1%,,76.2%,0,/brazil/gross-debt-to-gdp-
Monday March 10 2025,08:30 AM,BR,Nominal Budget Balance,JAN,,BRL-80.372B,,BRL 19.0B,0,/brazil/government-budget-value
Monday March 10 2025,09:00 AM,BR,Inflation Rate MoM,FEB,,0.16%,,1.1%,0,/brazil/inflation-rate-mom
Monday March 10 2025,09:00 AM,BR,Inflation Rate YoY,FEB,,4.56%,,4.9%,0,/brazil/inflation-cpi
Monday March 10 2025,09:30 AM,US,Core Inflation Rate MoM,FEB,,0.4%,0.3%,0.3%,0,/united-states/core-inflation-rate-mom
Monday March 10 2025,09:30 AM,US,Core Inflation Rate YoY,FEB,,3.3%,3.2%,3.1%,0,/united-states/core-inflation-rate
Monday March 10 2025,09:30 AM,US,Inflation Rate MoM,FEB,,0.5%,0.3%,0.3%,0,/united-states/inflation-rate-mom
Monday March 10 2025,09:30 AM,US,Inflation Rate YoY,FEB,,3%,2.9%,2.9%,0,/united-states/inflation-cpi
Monday March 10 2025,09:30 AM,US,CPI,FEB,,317.67,,319.3,0,/united-states/consumer-price-index-cpi
Monday March 10 2025,09:30 AM,US,CPI s.a,FEB,,319.086,,320,0,/united-states/cpi-seasonally-adjusted
Monday March 10 2025,10:00 AM,BR,Car Production MoM,FEB,,-7.7%,N/A,N/A,0,/brazil/car-production
Monday March 10 2025,10:00 AM,BR,New Car Registrations MoM,FEB,,-33.5%,N/A,N/A,0,/brazil/car-registrations
Monday March 10 2025,10:45 AM,CA,BoC Interest Rate Decision,,,3%,2.75%,2.75%,0,/canada/interest-rate
Monday March 10 2025,10:45 AM,EA,ECB Nagel Speech,,,,N/A,N/A,0,/euro-area/interest-rate
Monday March 10 2025,11:30 AM,CA,BoC Press Conference,,,,N/A,N/A,0,/canada/interest-rate
Monday March 10 2025,11:30 AM,US,EIA Crude Oil Stocks Change,MAR/07,,3.614M,,N/A,0,/united-states/crude-oil-stocks-change
Monday March 10 2025,11:30 AM,US,EIA Gasoline Stocks Change,MAR/07,,-1.433M,,N/A,0,/united-states/gasoline-stocks-change
Monday March 10 2025,11:30 AM,US,EIA Crude Oil Imports Change,MAR/07,,-0.054M,,N/A,0,/united-states/crude-oil-imports
Monday March 10 2025,11:30 AM,US,EIA Cushing Crude Oil Stocks Change,MAR/07,,1.124M,,N/A,0,/united-states/cushing-crude-oil-stocks
Monday March 10 2025,11:30 AM,US,EIA Distillate Fuel Production Change,MAR/07,,-0.587M,,N/A,0,/united-states/distillate-fuel-production
Monday March 10 2025,11:30 AM,US,EIA Distillate Stocks Change,MAR/07,,-1.318M,,N/A,0,/united-states/distillate-stocks
Monday March 10 2025,11:30 AM,US,EIA Gasoline Production Change,MAR/07,,0.464M,,N/A,0,/united-states/gasoline-production
Monday March 10 2025,11:30 AM,US,EIA Heating Oil Stocks Change,MAR/07,,-0.067M,,N/A,0,/united-states/heating-oil-stocks
Monday March 10 2025,11:30 AM,US,EIA Refinery Crude Runs Change,MAR/07,,-0.346M,,N/A,0,/united-states/refinery-crude-runs
Monday March 10 2025,12:15 PM,EA,ECB Lane Speech,,,,N/A,N/A,0,/euro-area/interest-rate
Monday March 10 2025,12:30 PM,US,N/A,,,4.180%,N/A,N/A,0,N/A
Monday March 10 2025,01:00 PM,RU,Inflation Rate MoM,FEB,,1.2%,0.8%,1.0%,0,/russia/inflation-rate-mom
Monday March 10 2025,01:00 PM,RU,Inflation Rate YoY,FEB,,9.9%,10.1%,10.3%,0,/russia/inflation-cpi
Monday March 10 2025,02:00 PM,US,10-Year Note Auction,,,4.632%,,N/A,0,/united-states/government-bond-yield
Monday March 10 2025,03:00 PM,US,Monthly Budget Statement,FEB,,$-129B,$-315B,$-90.0B,0,/united-states/government-budget-value
Monday March 10 2025,08:00 PM,KR,Unemployment Rate,FEB,,2.9%,,3.0%,0,/south-korea/unemployment-rate
Monday March 10 2025,08:50 PM,JP,Foreign Bond Investment,MAR/08,,¥1514.2B,,N/A,0,/japan/foreign-bond-investment
Monday March 10 2025,08:50 PM,JP,Stock Investment by Foreigners,MAR/08,,¥-708.3B,,N/A,0,/japan/foreign-stock-investment
Monday March 10 2025,09:01 PM,GB,RICS House Price Balance,FEB,,22%,20%,20.0%,0,/united-kingdom/rics-house-price-balance
Monday March 10 2025,09:30 PM,AU,Building Permits MoM Final,JAN,,0.7%,6.3%,6.3%,0,/australia/building-permits-mom
Monday March 10 2025,09:30 PM,AU,Private House Approvals MoM Final,JAN,,-3.0%,1.1%,1.1%,0,/australia/private-house-approvals-
Monday March 10 2025,11:30 PM,AU,RBA Jones Speech,,,,N/A,N/A,0,/australia/interest-rate
Monday March 10 2025,,IN,Passenger Vehicles Sales YoY,FEB,,3.5%,,N/A,0,/india/total-vehicle-sales
Monday March 10 2025,,OP,N/A,,,,N/A,N/A,0,N/A
Monday March 10 2025,,ZA,N/A,,,,N/A,N/A,0,N/A
Monday March 10 2025,02:00 AM,SG,6-Month T-Bill Auction,,,2.75%,,N/A,0,/singapore/6-month-bill-yield
Monday March 10 2025,06:00 AM,FR,N/A,,,,N/A,N/A,0,N/A
Monday March 10 2025,06:00 AM,DE,Bundesbank Köhler-Geib Speech,,,,N/A,N/A,0,/germany/interest-rate
Monday March 10 2025,06:30 AM,ZA,Gold Production YoY,JAN,,-8.4%,,-6.0%,0,/south-africa/gold-production
Monday March 10 2025,06:30 AM,ZA,Mining Production MoM,JAN,,-3.9%,,-2.8%,0,/south-africa/mining-production
Monday March 10 2025,06:30 AM,ZA,Mining Production YoY,JAN,,-2.4%,,-3.0%,0,/south-africa/mining-production
Monday March 10 2025,06:50 AM,EA,ECB de Guindos Speech,,,,N/A,N/A,0,/euro-area/interest-rate
Monday March 10 2025,07:00 AM,EA,Industrial Production MoM,JAN,,-1.1%,0.8%,0.5%,0,/euro-area/industrial-production-mom
Monday March 10 2025,07:00 AM,EA,Industrial Production YoY,JAN,,-2%,-1.1%,-1.7%,0,/euro-area/industrial-production
Monday March 10 2025,07:10 AM,IT,N/A,,,,N/A,N/A,0,N/A
Monday March 10 2025,08:00 AM,ZA,Manufacturing Production MoM,JAN,,-2.4%,,0.6%,0,/south-africa/industrial-production-mom
Monday March 10 2025,08:00 AM,ZA,Manufacturing Production YoY,JAN,,-1.2%,,1.6%,0,/south-africa/industrial-production
Monday March 10 2025,08:00 AM,TR,MPC Meeting Summary,,,,,N/A,0,/turkey/interest-rate
Monday March 10 2025,08:30 AM,BR,Bank Lending MoM,JAN,,1.4%,,-0.3%,0,/brazil/loan-growth
Monday March 10 2025,08:30 AM,TR,Foreign Exchange Reserves,MAR/07,,$94.76B,,N/A,0,/turkey/foreign-exchange-reserves
Monday March 10 2025,09:00 AM,MX,Industrial Production MoM,JAN,,-1.4%,,0.3%,0,/mexico/industrial-production-mom
Monday March 10 2025,09:00 AM,MX,Industrial Production YoY,JAN,,-2.7%,,0.4%,0,/mexico/industrial-production
Monday March 10 2025,09:30 AM,CA,Building Permits MoM,JAN,,11%,-4.8%,-2.0%,0,/canada/building-permits-mom
Monday March 10 2025,09:30 AM,US,PPI MoM,FEB,,0.4%,0.3%,0.3%,0,/united-states/producer-price-inflation-mom
Monday March 10 2025,09:30 AM,US,Core PPI MoM,FEB,,0.3%,0.3%,0.2%,0,/united-states/core-producer-prices-mom
Monday March 10 2025,09:30 AM,US,Initial Jobless Claims,MAR/08,,221K,225K,230.0K,0,/united-states/jobless-claims
Monday March 10 2025,09:30 AM,US,Continuing Jobless Claims,MAR/01,,1897K,,1910.0K,0,/united-states/continuing-jobless-claims
Monday March 10 2025,09:30 AM,US,Core PPI YoY,FEB,,3.6%,,3.5%,0,/united-states/core-producer-prices-yoy
Monday March 10 2025,09:30 AM,US,Jobless Claims 4-week Average,MAR/08,,224.25K,,228.0K,0,/united-states/jobless-claims-4-week-average
Monday March 10 2025,09:30 AM,US,PPI,FEB,,147.716,,148.1,0,/united-states/producer-prices
Monday March 10 2025,09:30 AM,US,"PPI Ex Food, Energy and Trade MoM",FEB,,0.3%,,0.2%,0,/united-states/ppi-ex-food-energy-and-trade-services-mom
Monday March 10 2025,09:30 AM,US,"PPI Ex Food, Energy and Trade YoY",FEB,,3.4%,,3.4%,0,/united-states/ppi-ex-food-energy-and-trade-services-yoy
Monday March 10 2025,09:30 AM,US,PPI YoY,FEB,,3.5%,,3.4%,0,/united-states/producer-prices-change
Monday March 10 2025,11:30 AM,US,EIA Natural Gas Stocks Change,MAR/07,,-80Bcf,,N/A,0,/united-states/natural-gas-stocks-change
Monday March 10 2025,12:30 PM,US,4-Week Bill Auction,,,4.230%,,N/A,0,/united-states/4-week-bill-yield
Monday March 10 2025,12:30 PM,US,8-Week Bill Auction,,,4.220%,,N/A,0,/united-states/8-week-bill-yield
Monday March 10 2025,01:00 PM,CA,5-Year Bond Auction,,,2.849%,,N/A,0,/canada/5-year-note-yield
Monday March 10 2025,01:00 PM,US,15-Year Mortgage Rate,MAR/13,,5.79%,,N/A,0,/united-states/15-year-mortgage-rate
Monday March 10 2025,01:00 PM,US,30-Year Mortgage Rate,MAR/13,,6.63%,,N/A,0,/united-states/30-year-mortgage-rate
Monday March 10 2025,02:00 PM,DE,Bundesbank Balz Speech,,,,N/A,N/A,0,/germany/interest-rate
Monday March 10 2025,02:00 PM,US,30-Year Bond Auction,,,4.748%,,N/A,0,/united-states/30-year-bond-yield
Monday March 10 2025,02:30 PM,EA,ECB de Galhau Speech,,,,N/A,N/A,0,/euro-area/interest-rate
Monday March 10 2025,02:30 PM,EA,ECB Nagel Speech,,,,N/A,N/A,0,/euro-area/interest-rate
Monday March 10 2025,05:30 PM,US,Fed Balance Sheet,MAR/12,,$6.76T,,N/A,0,/united-states/central-bank-balance-sheet
Monday March 10 2025,06:00 PM,KR,Export Prices YoY,FEB,,8.5%,,9.0%,0,/south-korea/export-prices-yoy
Monday March 10 2025,06:00 PM,KR,Import Prices YoY,FEB,,6.6%,,6.2%,0,/south-korea/import-prices-yoy
Monday March 10 2025,,BR,10-Year NTN-F Auction,,,14.987%,,N/A,0,/brazil/government-bond-yield
Monday March 10 2025,,BR,2-Year LTN Auction,,,14.782%,,N/A,0,/brazil/2-year-note-yield
Monday March 10 2025,12:35 AM,JP,3-Month Bill Auction,,,0.3404%,,N/A,0,/japan/3-month-bill-yield
Monday March 10 2025,02:00 AM,KR,N/A,,,2.570%,N/A,N/A,0,N/A
Monday March 10 2025,04:00 AM,DE,Inflation Rate MoM Final,FEB,,-0.2%,0.4%,0.4%,0,/germany/inflation-rate-mom
Monday March 10 2025,04:00 AM,DE,Inflation Rate YoY Final,FEB,,2.3%,2.3%,2.3%,0,/germany/inflation-cpi
Monday March 10 2025,04:00 AM,DE,Wholesale Prices MoM,FEB,,0.9%,,0.4%,0,/germany/wholesale-prices-mom
Monday March 10 2025,04:00 AM,DE,Wholesale Prices YoY,FEB,,0.9%,0.2%,1.4%,0,/germany/wholesale-prices-yoy
Monday March 10 2025,04:00 AM,DE,Harmonised Inflation Rate MoM Final,FEB,,-0.2%,0.6%,0.6%,0,/germany/harmonised-inflation-rate-mom
Monday March 10 2025,04:00 AM,DE,Harmonised Inflation Rate YoY Final,FEB,,2.8%,2.8%,2.8%,0,/germany/harmonised-inflation-rate-yoy
Monday March 10 2025,04:00 AM,GB,GDP MoM,JAN,,0.4%,0.1%,0.1%,0,/united-kingdom/monthly-gdp-mom
Monday March 10 2025,04:00 AM,GB,GDP 3-Month Avg,JAN,,0.1%,,0.3%,0,/united-kingdom/leading-economic-index
Monday March 10 2025,04:00 AM,GB,Goods Trade Balance,JAN,,£-17.45B,£-17.1B,£-18.6B,0,/united-kingdom/goods-trade-balance
Monday March 10 2025,04:00 AM,GB,Goods Trade Balance Non-EU,JAN,,£-6.1B,,£ -8.0B,0,/united-kingdom/goods-trade-balance-non-eu
Monday March 10 2025,04:00 AM,GB,Industrial Production MoM,JAN,,0.5%,-0.1%,-0.3%,0,/united-kingdom/industrial-production-mom
Monday March 10 2025,04:00 AM,GB,Manufacturing Production MoM,JAN,,0.7%,0%,-0.2%,0,/united-kingdom/manufacturing-production-mom
Monday March 10 2025,04:00 AM,GB,Balance of Trade,JAN,,£-2.82B,,£-3.5B,0,/united-kingdom/balance-of-trade
Monday March 10 2025,04:00 AM,GB,Construction Output YoY,JAN,,1.5%,,0.5%,0,/united-kingdom/construction-output
Monday March 10 2025,04:00 AM,GB,GDP YoY,JAN,,1.5%,,1.2%,0,/united-kingdom/monthly-gdp-yoy
Monday March 10 2025,04:00 AM,GB,Industrial Production YoY,JAN,,-1.9%,-0.9%,-0.7%,0,/united-kingdom/industrial-production
Monday March 10 2025,04:00 AM,GB,Manufacturing Production YoY,JAN,,-1.4%,-0.8%,-0.6%,0,/united-kingdom/manufacturing-production
Monday March 10 2025,04:45 AM,FR,Inflation Rate MoM Final,FEB,,0.2%,0%,0.0%,0,/france/inflation-rate-mom
Monday March 10 2025,04:45 AM,FR,Inflation Rate YoY Final,FEB,,1.7%,0.8%,0.8%,0,/france/inflation-cpi
Monday March 10 2025,04:45 AM,FR,Harmonised Inflation Rate MoM Final,FEB,,-0.2%,0%,0.0%,0,/france/harmonised-inflation-rate-mom
Monday March 10 2025,04:45 AM,FR,Harmonised Inflation Rate YoY Final,FEB,,1.8%,0.9%,0.9%,0,/france/harmonised-inflation-rate-yoy
Monday March 10 2025,05:00 AM,ES,Core Inflation Rate YoY Final,FEB,,2.4%,2.1%,2.1%,0,/spain/core-inflation-rate
Monday March 10 2025,05:00 AM,ES,Harmonised Inflation Rate MoM Final,FEB,,-0.1%,0.4%,0.4%,0,/spain/harmonised-inflation-rate-mom
Monday March 10 2025,05:00 AM,ES,Harmonised Inflation Rate YoY Final,FEB,,2.9%,2.9%,2.9%,0,/spain/harmonised-inflation-rate-yoy
Monday March 10 2025,05:00 AM,ES,Inflation Rate MoM Final,FEB,,0.2%,0.4%,0.4%,0,/spain/inflation-rate-mom
Monday March 10 2025,05:00 AM,ES,Inflation Rate YoY Final,FEB,,2.9%,3%,3.0%,0,/spain/inflation-cpi
Monday March 10 2025,06:00 AM,IT,Industrial Production MoM,JAN,,-3.1%,1.2%,1.9%,0,/italy/industrial-production-mom
Monday March 10 2025,06:00 AM,IT,Industrial Production YoY,JAN,,-7.1%,,-4.7%,0,/italy/industrial-production
Monday March 10 2025,08:30 AM,IN,Bank Loan Growth YoY,FEB/28,,11.3%,,N/A,0,/india/loan-growth
Monday March 10 2025,08:30 AM,IN,Deposit Growth YoY,FEB/28,,10.6%,,N/A,0,/india/deposit-growth
Monday March 10 2025,08:30 AM,IN,Foreign Exchange Reserves,MAR/07,,$638.7B,,N/A,0,/india/foreign-exchange-reserves
Monday March 10 2025,09:00 AM,BR,Retail Sales MoM,JAN,,-0.1%,,0.1%,0,/brazil/retail-sales
Monday March 10 2025,09:00 AM,BR,PPI MoM,JAN,,1.48%,,0.4%,0,/brazil/producer-price-inflation-mom
Monday March 10 2025,09:00 AM,BR,PPI YoY,JAN,,9.42%,,10.1%,0,/brazil/producer-prices-change
Monday March 10 2025,09:00 AM,BR,Retail Sales YoY,JAN,,2%,,1.1%,0,/brazil/retail-sales-annual
Monday March 10 2025,09:00 AM,GB,N/A,FEB,,0.3%,N/A,N/A,0,N/A
Monday March 10 2025,09:30 AM,CA,Manufacturing Sales MoM Final,JAN,,0.3%,2%,2.0%,0,/canada/manufacturing-sales
Monday March 10 2025,09:30 AM,CA,New Motor Vehicle Sales,JAN,,135.5K,,128.0K,0,/canada/car-registrations
Monday March 10 2025,09:30 AM,CA,Wholesale Sales MoM Final,JAN,,-0.2%,1.8%,1.5%,0,/canada/wholesale-sales
Monday March 10 2025,10:00 AM,RU,Balance of Trade,JAN,,$5.58B,,$4.2B,0,/russia/balance-of-trade
Monday March 10 2025,10:15 AM,EA,ECB Cipollone Speech,,,,N/A,N/A,0,/euro-area/interest-rate
Monday March 10 2025,10:45 AM,DE,Current Account,JAN,,€24.0B,,€19.5B,0,/germany/current-account
Monday March 10 2025,11:00 AM,US,Michigan Consumer Sentiment Prel,MAR,,64.7,64,63.2,0,/united-states/consumer-confidence
Monday March 10 2025,11:00 AM,US,Michigan 5 Year Inflation Expectations Prel,MAR,,3.5%,,3.6%,0,/united-states/michigan-5-year-inflation-expectations
Monday March 10 2025,11:00 AM,US,Michigan Consumer Expectations Prel,MAR,,64,,63.5,0,/united-states/michigan-consumer-expectations
Monday March 10 2025,11:00 AM,US,Michigan Current Conditions Prel,MAR,,65.7,,64.4,0,/united-states/michigan-current-economic-conditions
Monday March 10 2025,11:00 AM,US,Michigan Inflation Expectations Prel,MAR,,4.3%,,4.4%,0,/united-states/michigan-inflation-expectations
Monday March 10 2025,02:00 PM,US,Baker Hughes Oil Rig Count,MAR/14,,486,,N/A,0,/united-states/crude-oil-rigs
Monday March 10 2025,02:00 PM,US,Baker Hughes Total Rigs Count,MAR/14,,592,,N/A,0,/united-states/total-rigs
Monday March 10 2025,04:00 PM,AR,Inflation Rate MoM,FEB,,2.2%,,2.1%,0,/argentina/inflation-rate-mom
Monday March 10 2025,04:00 PM,AR,Inflation Rate YoY,FEB,,84.5%,,80.0%,0,/argentina/inflation-cpi
Monday March 10 2025,,CN,Vehicle Sales YoY,FEB,,-0.6%,N/A,N/A,0,/china/total-vehicle-sales
